concept_name,concept_label,concept_period_type,concept_balance,concept_level,statement_label,statement_name,concept_is_extended
ifrs-full:IncomeStatementAbstract,Profit or loss [abstract],duration,,0,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:Revenue,Revenue,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:CostOfSales,Cost of sales,duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:GrossProfit,Gross profit,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:DistributionCosts,Distribution costs,duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:AdministrativeExpense,Administrative expenses,duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:OtherIncome,Other income,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:OtherExpenseByFunction,"Other expense, by function",duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:ProfitLossFromOperatingActivities,Profit (loss) from operating activities,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,Share of profit (loss) of associates and joint ventures accounted for using equity method,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:RevenueFromInterest,Interest income,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:InterestExpense,Interest expense,duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:OtherFinanceIncomeCost,Other finance income (cost),duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:FinanceIncomeCost,Finance income (cost),duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:ProfitLossBeforeTax,Profit (loss) before tax,duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:IncomeTaxExpenseContinuingOperations,Tax expense (income),duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,Current tax expense (income) and adjustments for current tax of prior periods,duration,debit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:DeferredTaxExpenseIncomeRecognisedInProfitOrLoss,Deferred tax expense (income) recognised in profit or loss,duration,,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:ProfitLoss,Profit (loss),duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
ifrs-full:ProfitLossAttributableToNoncontrollingInterests,"Profit (loss), attributable to non-controlling interests",duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,False
volkswagenag:ErgebnisnachSteuernentfaelltaufHybridkapitalgeberderVolkswagenAG,"Ergebnis nach Steuern, entfällt auf Hybridkapitalgeber der Volkswagen AG",duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,True
volkswagenag:ErgebnisnachSteuernentfaelltaufAktionaerederVolkswagenAG,"Ergebnis nach Steuern, entfällt auf Aktionäre der Volkswagen AG",duration,credit,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,True
volkswagenag:UnverwaessertesverwaessertesErgebnisjeStammaktiein,Unverwässertes/verwässertes Ergebnis je Stammaktie in €,duration,,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,True
volkswagenag:UnverwaessertesverwaessertesErgebnisjeVorzugsaktiein,Unverwässertes/verwässertes Ergebnis je Vorzugsaktie in €,duration,,1,Profit or loss [abstract],ifrs-full:IncomeStatementAbstract,True
ifrs-full:StatementOfComprehensiveIncomeAbstract,Statement of comprehensive income [abstract],duration,,0,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:StatementOfComprehensiveIncomeTable,VW Gesamtergebnisrechnung [table],duration,,1,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:ComponentsOfEquityAxis,Components of equity [axis],duration,,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:ProfitLoss,Profit (loss),duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,"Other comprehensive income, before tax, gains (losses) on remeasurements of defined benefit plans",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:IncomeTaxRelatingToRemeasurementsOfDefinedBenefitPlansOfOtherComprehensiveIncome,Income tax relating to remeasurements of defined benefit plans included in other comprehensive income,duration,debit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,"Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to profit or loss, net of tax",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,"Gains (losses) on exchange differences on translation, before tax",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationBeforeTax,"Reclassification adjustments on exchange differences on translation, before tax",duration,debit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:OtherComprehensiveIncomeBeforeTaxExchangeDifferencesOnTranslation,"Other comprehensive income, before tax, exchange differences on translation",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:IncomeTaxRelatingToExchangeDifferencesOnTranslationOfOtherComprehensiveIncome,Income tax relating to exchange differences on translation included in other comprehensive income,duration,debit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,"Other comprehensive income, net of tax, exchange differences on translation",duration,credit,2,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
ifrs-full:EquityMember,Equity [member],duration,,3,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
volkswagenag:EigenkapitalDerAktionaereOhneHybridkapitalgeberMember,"Eigenkapital der Aktionäre, ohne Hybridkapitalgeber [member]",duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
volkswagenag:EigenkapitalDerHybridkapitalgeberMember,Eigenkapital der Hybridkapitalgeber [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,True
ifrs-full:NoncontrollingInterestsMember,Non-controlling interests [member],duration,,4,Statement of comprehensive income [abstract],ifrs-full:StatementOfComprehensiveIncomeAbstract,False
